sku,title,description,category,material,origin_district,price_rwf,artisan_id
MIR0221,Durable Wallet,ideal gift for women. vegetable tanned leather piece from Karongi.,leather,vegetable tanned leather,Karongi,57000,ART053
MIR0222,Durable Card Holder,finished by local artisans. vegetable tanned leather piece from Muhanga.,leather,vegetable tanned leather,Muhanga,76000,ART068
MIR0223,Lightweight Storage Basket,handwoven by cooperatives. raffia piece from Musanze.,basketry,raffia,Musanze,31000,ART057
MIR0224,Minimal Ceramic Vase,crafted for everyday decor. kitenge cotton piece from Karongi.,home-decor,kitenge cotton,Karongi,21500,ART008
MIR0225,Premium Crossbody Bag,ideal gift for women. cow leather piece from Gicumbi.,leather,cow leather,Gicumbi,108500,ART006
MIR0226,Minimal Wood Candle Holder,adds warmth to living room. kitenge cotton piece from Kayonza.,home-decor,kitenge cotton,Kayonza,44000,ART059
MIR0227,Modern Festival Top,bold print accents. kitenge cotton piece from Bugesera.,apparel,kitenge cotton,Bugesera,62500,ART086
MIR0228,Traditional Woven Tray,natural texture finish. sisal piece from Nyanza.,basketry,sisal,Nyanza,31000,ART020
MIR0229,Lightweight Woven Tray,good for home storage. sisal piece from Karongi.,basketry,sisal,Karongi,35000,ART001
MIR0230,Modern Light Jacket,comfortable daily wear. linen blend piece from Huye.,apparel,linen blend,Huye,10500,ART064
MIR0231,Classic Light Jacket,comfortable daily wear. linen blend piece from Nyanza.,apparel,linen blend,Nyanza,43500,ART034
MIR0232,Durable Crossbody Bag,clean handmade stitching. vegetable tanned leather piece from Musanze.,leather,vegetable tanned leather,Musanze,126000,ART069
MIR0233,Modern Cushion Cover,crafted for everyday decor. kitenge cotton piece from Huye.,home-decor,kitenge cotton,Huye,18000,ART068
MIR0234,Woven Fruit Basket,good for home storage. sisal piece from Nyagatare.,basketry,sisal,Nyagatare,32000,ART051
MIR0235,Warm Wood Candle Holder,adds warmth to living room. wood piece from Gasabo.,home-decor,wood,Gasabo,56500,ART001
MIR0236,Minimal Anklet,small artisan workshop. glass beads piece from Karongi.,jewellery,glass beads,Karongi,72000,ART016
MIR0237,Soft Tote Bag,cadeau en cuir pour femme. cuir artisanal piece from Rwamagana.,leather,cuir artisanal,Rwamagana,77500,ART076
MIR0238,Bright Beaded Necklace,lightweight for daily use. brass piece from Rwamagana.,jewellery,brass,Rwamagana,20500,ART053
MIR0239,Elegant Tailored Shirt,hand-finished seams. kitenge cotton piece from Musanze.,apparel,kitenge cotton,Musanze,32000,ART081
MIR0240,Classic Tailored Shirt,hand-finished seams. organic cotton piece from Rwamagana.,apparel,organic cotton,Rwamagana,16500,ART016
MIR0241,Gift-Ready Pendant Set,lightweight for daily use. brass piece from Rubavu.,jewellery,brass,Rubavu,24000,ART031
MIR0242,Statement Beaded Necklace,small artisan workshop. silver tone metal piece from Huye.,jewellery,silver tone metal,Huye,51000,ART024
MIR0243,Durable Wallet,cadeau en cuir pour femme. cuir artisanal piece from Bugesera.,leather,cuir artisanal,Bugesera,108500,ART003
MIR0244,Decorative Agaseke Basket,natural texture finish. sisal piece from Gasabo.,basketry,sisal,Gasabo,30000,ART011
MIR0245,Woven Fruit Basket,crafted in small batches. sisal piece from Gicumbi.,basketry,sisal,Gicumbi,9000,ART087
MIR0246,Handmade Wood Candle Holder,crafted for everyday decor. ceramic piece from Nyarugenge.,home-decor,ceramic,Nyarugenge,10500,ART090
MIR0247,Traditional Storage Basket,crafted in small batches. sisal piece from Rubavu.,basketry,sisal,Rubavu,8500,ART043
MIR0248,Hand-Stitched Sandals,cadeau en cuir pour femme. cuir artisanal piece from Bugesera.,leather,cuir artisanal,Bugesera,147000,ART016
MIR0249,Soft Wallet,cadeau en cuir pour femme. vegetable tanned leather piece from Rwamagana.,leather,vegetable tanned leather,Rwamagana,144000,ART027
MIR0250,Hand-Stitched Wallet,everyday city use. goat leather piece from Karongi.,leather,goat leather,Karongi,29500,ART053
MIR0251,Lightweight Wall Basket,handwoven by cooperatives. sisal piece from Nyarugenge.,basketry,sisal,Nyarugenge,37000,ART089
MIR0252,Warm Wood Candle Holder,designed for small spaces. ceramic piece from Muhanga.,home-decor,ceramic,Muhanga,41000,ART033
MIR0253,Soft Belt,cadeau en cuir pour femme. cuir artisanal piece from Nyanza.,leather,cuir artisanal,Nyanza,122500,ART035
MIR0254,Classic Passport Case,ideal gift for women. goat leather piece from Karongi.,leather,goat leather,Karongi,74000,ART030
MIR0255,Soft Passport Case,finished by local artisans. goat leather piece from Nyagatare.,leather,goat leather,Nyagatare,60500,ART027
MIR0256,Bright Bracelet,hand-assembled details. silver tone metal piece from Kayonza.,jewellery,silver tone metal,Kayonza,34000,ART032
MIR0257,Delicate Bracelet,inspired by local motifs. silver tone metal piece from Nyarugenge.,jewellery,silver tone metal,Nyarugenge,77500,ART046
MIR0258,Artisan Tailored Shirt,bold print accents. kitenge cotton piece from Karongi.,apparel,kitenge cotton,Karongi,51500,ART051
MIR0259,Modern Light Jacket,bold print accents. organic cotton piece from Gicumbi.,apparel,organic cotton,Gicumbi,19000,ART088
MIR0260,Woven Fruit Basket,good for home storage. banana fiber piece from Kayonza.,basketry,banana fiber,Kayonza,43000,ART005
MIR0261,Modern Festival Top,locally tailored fit. kitenge cotton piece from Bugesera.,apparel,kitenge cotton,Bugesera,64000,ART083
MIR0262,Minimal Beaded Necklace,small artisan workshop. brass piece from Kayonza.,jewellery,brass,Kayonza,47500,ART062
MIR0263,Premium Tote Bag,cadeau en cuir pour femme. goat leather piece from Karongi.,leather,goat leather,Karongi,45000,ART014
MIR0264,Modern Light Jacket,locally tailored fit. organic cotton piece from Nyagatare.,apparel,organic cotton,Nyagatare,53000,ART001
MIR0265,Textured Wood Candle Holder,crafted for everyday decor. banana fiber piece from Bugesera.,home-decor,banana fiber,Bugesera,77500,ART089
MIR0266,Classic Light Jacket,comfortable daily wear. kitenge cotton piece from Rusizi.,apparel,kitenge cotton,Rusizi,52500,ART015
MIR0267,Soft Crossbody Bag,cadeau en cuir pour femme. goat leather piece from Muhanga.,leather,goat leather,Muhanga,22500,ART022
MIR0268,Elegant Festival Top,bold print accents. linen blend piece from Gicumbi.,apparel,linen blend,Gicumbi,42500,ART017
MIR0269,Artisan Festival Top,hand-finished seams. organic cotton piece from Huye.,apparel,organic cotton,Huye,31000,ART011
MIR0270,Everyday Festival Top,locally tailored fit. organic cotton piece from Musanze.,apparel,organic cotton,Musanze,64000,ART051
MIR0271,Elegant Wrap Skirt,comfortable daily wear. linen blend piece from Nyagatare.,apparel,linen blend,Nyagatare,16000,ART085
MIR0272,Classic Light Jacket,hand-finished seams. kitenge cotton piece from Bugesera.,apparel,kitenge cotton,Bugesera,56000,ART072
MIR0273,Modern Kitenge Dress,bold print accents. linen blend piece from Rubavu.,apparel,linen blend,Rubavu,12500,ART066
MIR0274,Functional Agaseke Basket,natural texture finish. raffia piece from Rwamagana.,basketry,raffia,Rwamagana,32500,ART042
MIR0275,Woven Fruit Basket,natural texture finish. raffia piece from Rusizi.,basketry,raffia,Rusizi,36500,ART011
MIR0276,Premium Sandals,cadeau en cuir pour femme. cow leather piece from Muhanga.,leather,cow leather,Muhanga,84000,ART042
MIR0277,Durable Passport Case,clean handmade stitching. vegetable tanned leather piece from Nyarugenge.,leather,vegetable tanned leather,Nyarugenge,80000,ART052
MIR0278,Premium Wallet,clean handmade stitching. cow leather piece from Rwamagana.,leather,cow leather,Rwamagana,68000,ART086
MIR0279,Minimal Cushion Cover,adds warmth to living room. ceramic piece from Kayonza.,home-decor,ceramic,Kayonza,55500,ART023
MIR0280,Minimal Ceramic Vase,crafted for everyday decor. banana fiber piece from Bugesera.,home-decor,banana fiber,Bugesera,42500,ART058
MIR0281,Everyday Kitenge Dress,locally tailored fit. organic cotton piece from Gasabo.,apparel,organic cotton,Gasabo,29500,ART019
MIR0282,Everyday Festival Top,hand-finished seams. linen blend piece from Nyanza.,apparel,linen blend,Nyanza,48500,ART004
MIR0283,Durable Belt,clean handmade stitching. vegetable tanned leather piece from Bugesera.,leather,vegetable tanned leather,Bugesera,55000,ART035
MIR0284,Classic Passport Case,ideal gift for women. cuir artisanal piece from Bugesera.,leather,cuir artisanal,Bugesera,20500,ART011
MIR0285,Functional Agaseke Basket,good for home storage. banana fiber piece from Nyarugenge.,basketry,banana fiber,Nyarugenge,8000,ART065
MIR0286,Hand-Stitched Passport Case,finished by local artisans. vegetable tanned leather piece from Rusizi.,leather,vegetable tanned leather,Rusizi,73500,ART036
MIR0287,Classic Festival Top,comfortable daily wear. kitenge cotton piece from Kayonza.,apparel,kitenge cotton,Kayonza,53500,ART026
MIR0288,Soft Crossbody Bag,clean handmade stitching. goat leather piece from Nyarugenge.,leather,goat leather,Nyarugenge,25000,ART087
MIR0289,Hand-Stitched Sandals,cadeau en cuir pour femme. cow leather piece from Rusizi.,leather,cow leather,Rusizi,29500,ART049
MIR0290,Elegant Festival Top,locally tailored fit. linen blend piece from Huye.,apparel,linen blend,Huye,16000,ART085
MIR0291,Handmade Wood Candle Holder,designed for small spaces. wood piece from Muhanga.,home-decor,wood,Muhanga,87000,ART035
MIR0292,Modern Festival Top,bold print accents. linen blend piece from Nyagatare.,apparel,linen blend,Nyagatare,36000,ART064
MIR0293,Modern Wall Hanging,crafted for everyday decor. banana fiber piece from Huye.,home-decor,banana fiber,Huye,23000,ART026
MIR0294,Classic Tailored Shirt,locally tailored fit. kitenge cotton piece from Rusizi.,apparel,kitenge cotton,Rusizi,52500,ART007
MIR0295,Modern Ceramic Vase,designed for small spaces. kitenge cotton piece from Bugesera.,home-decor,kitenge cotton,Bugesera,14000,ART076
MIR0296,Textured Table Runner,crafted for everyday decor. kitenge cotton piece from Gicumbi.,home-decor,kitenge cotton,Gicumbi,88000,ART019
MIR0297,Textured Wood Candle Holder,simple artisan finish. wood piece from Rwamagana.,home-decor,wood,Rwamagana,79500,ART060
MIR0298,Delicate Anklet,lightweight for daily use. brass piece from Muhanga.,jewellery,brass,Muhanga,17500,ART005
MIR0299,Delicate Anklet,inspired by local motifs. brass piece from Nyarugenge.,jewellery,brass,Nyarugenge,33000,ART014
MIR0300,Lightweight Woven Tray,crafted in small batches. raffia piece from Nyanza.,basketry,raffia,Nyanza,13000,ART057
MIR0301,Gift-Ready Bracelet,small artisan workshop. horn piece from Nyanza.,jewellery,horn,Nyanza,52000,ART059
MIR0302,Classic Festival Top,comfortable daily wear. organic cotton piece from Kicukiro.,apparel,organic cotton,Kicukiro,21500,ART009
MIR0303,Traditional Fruit Basket,natural texture finish. raffia piece from Kayonza.,basketry,raffia,Kayonza,18000,ART077
MIR0304,Premium Card Holder,finished by local artisans. vegetable tanned leather piece from Nyagatare.,leather,vegetable tanned leather,Nyagatare,56500,ART017
MIR0305,Handmade Table Runner,crafted for everyday decor. kitenge cotton piece from Rusizi.,home-decor,kitenge cotton,Rusizi,74000,ART015
MIR0306,Classic Crossbody Bag,finished by local artisans. full grain leather piece from Bugesera.,leather,full grain leather,Bugesera,141500,ART016
MIR0307,Premium Card Holder,everyday city use. cuir artisanal piece from Kicukiro.,leather,cuir artisanal,Kicukiro,85500,ART053
MIR0308,Woven Fruit Basket,natural texture finish. raffia piece from Kayonza.,basketry,raffia,Kayonza,45000,ART040
MIR0309,Soft Tote Bag,everyday city use. vegetable tanned leather piece from Rwamagana.,leather,vegetable tanned leather,Rwamagana,146500,ART083
MIR0310,Elegant Kitenge Dress,locally tailored fit. organic cotton piece from Musanze.,apparel,organic cotton,Musanze,44500,ART021
MIR0311,Premium Sandals,everyday city use. vegetable tanned leather piece from Kayonza.,leather,vegetable tanned leather,Kayonza,80000,ART002
MIR0312,Durable Passport Case,cadeau en cuir pour femme. vegetable tanned leather piece from Rusizi.,leather,vegetable tanned leather,Rusizi,125500,ART006
MIR0313,Classic Card Holder,everyday city use. full grain leather piece from Karongi.,leather,full grain leather,Karongi,75000,ART082
MIR0314,Premium Sandals,ideal gift for women. cuir artisanal piece from Karongi.,leather,cuir artisanal,Karongi,60000,ART057
MIR0315,Classic Belt,cadeau en cuir pour femme. full grain leather piece from Rusizi.,leather,full grain leather,Rusizi,109500,ART084
MIR0316,Soft Wallet,ideal gift for women. vegetable tanned leather piece from Nyanza.,leather,vegetable tanned leather,Nyanza,82000,ART074
MIR0317,Classic Tote Bag,ideal gift for women. vegetable tanned leather piece from Nyagatare.,leather,vegetable tanned leather,Nyagatare,94500,ART048
MIR0318,Lightweight Wall Basket,natural texture finish. sisal piece from Huye.,basketry,sisal,Huye,30000,ART018
MIR0319,Classic Tote Bag,ideal gift for women. goat leather piece from Bugesera.,leather,goat leather,Bugesera,89500,ART066
MIR0320,Warm Table Runner,crafted for everyday decor. banana fiber piece from Gicumbi.,home-decor,banana fiber,Gicumbi,23500,ART014
MIR0321,Textured Cushion Cover,simple artisan finish. wood piece from Rwamagana.,home-decor,wood,Rwamagana,67500,ART018
MIR0322,Premium Card Holder,finished by local artisans. full grain leather piece from Gicumbi.,leather,full grain leather,Gicumbi,61500,ART016
MIR0323,Soft Card Holder,ideal gift for women. cuir artisanal piece from Nyarugenge.,leather,cuir artisanal,Nyarugenge,46500,ART036
MIR0324,Lightweight Storage Basket,crafted in small batches. sisal piece from Rusizi.,basketry,sisal,Rusizi,33000,ART050
MIR0325,Warm Table Runner,simple artisan finish. ceramic piece from Rwamagana.,home-decor,ceramic,Rwamagana,55500,ART022
MIR0326,Woven Wall Basket,natural texture finish. banana fiber piece from Musanze.,basketry,banana fiber,Musanze,38000,ART041
MIR0327,Bright Earrings,hand-assembled details. silver tone metal piece from Huye.,jewellery,silver tone metal,Huye,23000,ART017
MIR0328,Lightweight Fruit Basket,crafted in small batches. raffia piece from Rusizi.,basketry,raffia,Rusizi,35000,ART022
MIR0329,Lightweight Agaseke Basket,handwoven by cooperatives. sisal piece from Rubavu.,basketry,sisal,Rubavu,5500,ART033
MIR0330,Classic Belt,cadeau en cuir pour femme. goat leather piece from Gicumbi.,leather,goat leather,Gicumbi,44500,ART034
MIR0331,Minimal Bracelet,lightweight for daily use. brass piece from Bugesera.,jewellery,brass,Bugesera,52500,ART033
MIR0332,Classic Wrap Skirt,comfortable daily wear. linen blend piece from Nyanza.,apparel,linen blend,Nyanza,43500,ART090
MIR0333,Functional Fruit Basket,crafted in small batches. banana fiber piece from Bugesera.,basketry,banana fiber,Bugesera,19500,ART046
MIR0334,Handmade Wall Hanging,designed for small spaces. kitenge cotton piece from Rusizi.,home-decor,kitenge cotton,Rusizi,46500,ART002
MIR0335,Everyday Light Jacket,locally tailored fit. organic cotton piece from Nyagatare.,apparel,organic cotton,Nyagatare,52000,ART041
MIR0336,Decorative Fruit Basket,good for home storage. banana fiber piece from Kayonza.,basketry,banana fiber,Kayonza,14000,ART010
MIR0337,Elegant Kitenge Dress,bold print accents. kitenge cotton piece from Gicumbi.,apparel,kitenge cotton,Gicumbi,46500,ART070
MIR0338,Delicate Anklet,hand-assembled details. horn piece from Nyarugenge.,jewellery,horn,Nyarugenge,35500,ART029
MIR0339,Modern Wrap Skirt,bold print accents. linen blend piece from Nyanza.,apparel,linen blend,Nyanza,33000,ART057
MIR0340,Minimal Cushion Cover,adds warmth to living room. ceramic piece from Nyanza.,home-decor,ceramic,Nyanza,21000,ART027
MIR0341,Classic Tailored Shirt,bold print accents. linen blend piece from Gasabo.,apparel,linen blend,Gasabo,52000,ART057
MIR0342,Warm Wall Hanging,designed for small spaces. banana fiber piece from Gasabo.,home-decor,banana fiber,Gasabo,23000,ART062
MIR0343,Delicate Pendant Set,lightweight for daily use. brass piece from Gicumbi.,jewellery,brass,Gicumbi,74000,ART089
MIR0344,Decorative Woven Tray,crafted in small batches. sisal piece from Rubavu.,basketry,sisal,Rubavu,37500,ART061
MIR0345,Bright Bracelet,small artisan workshop. horn piece from Rubavu.,jewellery,horn,Rubavu,47500,ART031
MIR0346,Delicate Earrings,inspired by local motifs. silver tone metal piece from Kayonza.,jewellery,silver tone metal,Kayonza,24500,ART039
MIR0347,Handmade Ceramic Vase,crafted for everyday decor. sisal piece from Karongi.,home-decor,sisal,Karongi,68000,ART053
MIR0348,Hand-Stitched Card Holder,everyday city use. goat leather piece from Rusizi.,leather,goat leather,Rusizi,91000,ART001
MIR0349,Functional Storage Basket,handwoven by cooperatives. banana fiber piece from Gasabo.,basketry,banana fiber,Gasabo,41000,ART019
MIR0350,Elegant Light Jacket,hand-finished seams. linen blend piece from Karongi.,apparel,linen blend,Karongi,31000,ART009
MIR0351,Decorative Storage Basket,handwoven by cooperatives. sisal piece from Huye.,basketry,sisal,Huye,12000,ART022
MIR0352,Everyday Kitenge Dress,locally tailored fit. organic cotton piece from Nyagatare.,apparel,organic cotton,Nyagatare,57500,ART044
MIR0353,Decorative Fruit Basket,crafted in small batches. banana fiber piece from Rusizi.,basketry,banana fiber,Rusizi,11500,ART013
MIR0354,Decorative Fruit Basket,handwoven by cooperatives. raffia piece from Musanze.,basketry,raffia,Musanze,15000,ART084
MIR0355,Classic Passport Case,clean handmade stitching. cow leather piece from Karongi.,leather,cow leather,Karongi,69000,ART088
MIR0356,Premium Belt,everyday city use. goat leather piece from Nyarugenge.,leather,goat leather,Nyarugenge,76000,ART017
MIR0357,Bright Earrings,small artisan workshop. brass piece from Karongi.,jewellery,brass,Karongi,46000,ART020
MIR0358,Minimal Anklet,hand-assembled details. silver tone metal piece from Nyanza.,jewellery,silver tone metal,Nyanza,25000,ART025
MIR0359,Premium Crossbody Bag,everyday city use. cow leather piece from Kayonza.,leather,cow leather,Kayonza,140500,ART047
MIR0360,Traditional Storage Basket,natural texture finish. banana fiber piece from Nyanza.,basketry,banana fiber,Nyanza,6500,ART036
MIR0361,Warm Table Runner,simple artisan finish. sisal piece from Nyanza.,home-decor,sisal,Nyanza,20500,ART040
MIR0362,Modern Tailored Shirt,hand-finished seams. linen blend piece from Nyanza.,apparel,linen blend,Nyanza,56500,ART077
MIR0363,Modern Kitenge Dress,bold print accents. organic cotton piece from Gasabo.,apparel,organic cotton,Gasabo,39500,ART078
MIR0364,Classic Tailored Shirt,locally tailored fit. organic cotton piece from Muhanga.,apparel,organic cotton,Muhanga,16000,ART069
MIR0365,Decorative Agaseke Basket,good for home storage. sisal piece from Kayonza.,basketry,sisal,Kayonza,44000,ART010
MIR0366,Premium Belt,cadeau en cuir pour femme. cuir artisanal piece from Nyarugenge.,leather,cuir artisanal,Nyarugenge,115000,ART048
MIR0367,Gift-Ready Beaded Necklace,lightweight for daily use. brass piece from Karongi.,jewellery,brass,Karongi,37500,ART056
MIR0368,Functional Agaseke Basket,good for home storage. sisal piece from Rubavu.,basketry,sisal,Rubavu,25000,ART046
MIR0369,Soft Belt,finished by local artisans. cuir artisanal piece from Huye.,leather,cuir artisanal,Huye,144500,ART075
MIR0370,Handmade Wood Candle Holder,crafted for everyday decor. wood piece from Karongi.,home-decor,wood,Karongi,63500,ART067
MIR0371,Statement Earrings,small artisan workshop. horn piece from Nyarugenge.,jewellery,horn,Nyarugenge,39500,ART031
MIR0372,Premium Passport Case,clean handmade stitching. full grain leather piece from Gicumbi.,leather,full grain leather,Gicumbi,148000,ART083
MIR0373,Durable Wallet,everyday city use. goat leather piece from Nyanza.,leather,goat leather,Nyanza,22000,ART060
MIR0374,Durable Passport Case,finished by local artisans. cow leather piece from Muhanga.,leather,cow leather,Muhanga,133000,ART038
MIR0375,Modern Kitenge Dress,comfortable daily wear. organic cotton piece from Karongi.,apparel,organic cotton,Karongi,43000,ART055
MIR0376,Everyday Festival Top,hand-finished seams. linen blend piece from Karongi.,apparel,linen blend,Karongi,52000,ART028
MIR0377,Textured Cushion Cover,designed for small spaces. wood piece from Nyanza.,home-decor,wood,Nyanza,84500,ART027
MIR0378,Hand-Stitched Card Holder,cadeau en cuir pour femme. cow leather piece from Nyagatare.,leather,cow leather,Nyagatare,110000,ART020
MIR0379,Soft Wallet,clean handmade stitching. full grain leather piece from Rwamagana.,leather,full grain leather,Rwamagana,74500,ART043
MIR0380,Gift-Ready Earrings,small artisan workshop. horn piece from Karongi.,jewellery,horn,Karongi,35500,ART003
MIR0381,Functional Fruit Basket,good for home storage. banana fiber piece from Gasabo.,basketry,banana fiber,Gasabo,26500,ART033
MIR0382,Modern Cushion Cover,designed for small spaces. banana fiber piece from Musanze.,home-decor,banana fiber,Musanze,80500,ART068
MIR0383,Bright Earrings,small artisan workshop. glass beads piece from Rwamagana.,jewellery,glass beads,Rwamagana,65000,ART037
MIR0384,Classic Crossbody Bag,ideal gift for women. goat leather piece from Nyagatare.,leather,goat leather,Nyagatare,144500,ART003
MIR0385,Classic Belt,finished by local artisans. cow leather piece from Nyanza.,leather,cow leather,Nyanza,140000,ART034
MIR0386,Warm Wall Hanging,adds warmth to living room. ceramic piece from Kicukiro.,home-decor,ceramic,Kicukiro,60000,ART041
MIR0387,Bright Earrings,small artisan workshop. brass piece from Bugesera.,jewellery,brass,Bugesera,10500,ART076
MIR0388,Minimal Cushion Cover,crafted for everyday decor. ceramic piece from Kicukiro.,home-decor,ceramic,Kicukiro,87500,ART013
MIR0389,Artisan Kitenge Dress,comfortable daily wear. linen blend piece from Bugesera.,apparel,linen blend,Bugesera,55500,ART075
MIR0390,Textured Table Runner,adds warmth to living room. wood piece from Kicukiro.,home-decor,wood,Kicukiro,17000,ART009
MIR0391,Woven Storage Basket,handwoven by cooperatives. sisal piece from Kayonza.,basketry,sisal,Kayonza,6000,ART008
MIR0392,Everyday Kitenge Dress,hand-finished seams. linen blend piece from Karongi.,apparel,linen blend,Karongi,52500,ART053
MIR0393,Decorative Agaseke Basket,good for home storage. raffia piece from Bugesera.,basketry,raffia,Bugesera,22500,ART028
MIR0394,Functional Fruit Basket,good for home storage. banana fiber piece from Nyagatare.,basketry,banana fiber,Nyagatare,19000,ART041
MIR0395,Everyday Kitenge Dress,bold print accents. kitenge cotton piece from Nyarugenge.,apparel,kitenge cotton,Nyarugenge,53000,ART038
MIR0396,Soft Crossbody Bag,finished by local artisans. cow leather piece from Karongi.,leather,cow leather,Karongi,128000,ART023
MIR0397,Bright Pendant Set,small artisan workshop. horn piece from Rusizi.,jewellery,horn,Rusizi,71000,ART059
MIR0398,Hand-Stitched Tote Bag,finished by local artisans. full grain leather piece from Musanze.,leather,full grain leather,Musanze,42000,ART028
MIR0399,Classic Belt,ideal gift for women. full grain leather piece from Bugesera.,leather,full grain leather,Bugesera,148000,ART011
MIR0400,Durable Belt,ideal gift for women. goat leather piece from Huye.,leather,goat leather,Huye,98000,ART050
